synth_75imaveragecolour,synth_75sqisvalid
#B1B6C5,1
#B9BDCA,1
#8A95A6,1
#8A94A7,1
#969EAF,1
#ABB1C5,1
#8D94A3,1
#808A9B,1
#978264,1
#AA8558,1
#A28359,1
#736552,1
#BF6939,1
#B55D36,1
#BA6439,1
#7F804D,1
#797742,1
#85764E,1
#767348,1
#696660,1
#676563,1
#929486,1
#6E6A6D,1
#AFABA9,1
#767672,1
#635245,1
#686763,1
#77837A,1
#7D7870,1
#546E61,1
#4F7560,1
#4A6F5B,1
#393939,1
#556E62,1
#4F7D5E,1
#3F4441,1
#3F4E47,1
#46544D,1
#48554F,1
#47564D,1
#2B2C29,1
#56524D,1
#827B6D,1
#6E6D6D,1
#736F70,1
#5B5959,1
#5C5854,1
#865159,1
#BC9B71,1
#F1F1F1,1
#F1F1F1,1
#F0F1F1,1
#846F5D,1
#F1F1F1,1
#7D7E7C,1
#4F5655,1
#78776D,1
#8D8B93,1
#51575F,1
#3A3C3A,1
#656D76,1
#855857,1
#7A797A,1
#918E94,1
#889196,1
#9B967A,1
#878386,1
#7E7E85,1
#7A7276,1
#7A818D,1
#978C71,1
#848C95,1
#7E503C,1
#7E524A,1
#B47E81,1
#4D5358,1
#9F9C97,1
#868182,1
#546B6F,1
#676E74,1
#7B828D,1
#6B6868,1
#93886C,1
#68654E,1
#8496BF,1
#95A8B4,1
#F2F4F5,1
#F5F5F5,1
#F2F2F2,1
#4D5B66,1
#687077,1
#897C6F,1
#406292,1
#776F65,1
#877565,1
#526C9B,1
#454749,1
#71675E,1
#817A6B,1
#8C5682,1
#5A6D7E,1
#66757A,1
#C8BCBA,1
#A4CED6,1
#3186B7,1
#615F56,1
#F3F3F3,1
#616F77,1
#5C524D,1
#717173,1
#717270,1
#8E6E57,1
#795B4A,1
#8D6043,1
#130D10,1
#140D10,1
#120C10,1
#120C10,1
#140D10,1
#130C10,1
#140C10,1
#130D10,1
#150D10,1
#120C0F,1
#120C0F,1
#110B0F,1
#130D10,1
#130C10,1
#140D10,1
#49392E,1
#120C0F,1
#120C0F,1
#120C0F,1
#110C0E,1
#120C0F,1
#120C0F,1
#36220E,1
#3B2510,1
#1E120F,1
#120C0F,1
#120C0F,1
#403122,1
#120C0F,1
#211613,1
#120C0F,1
#120B0F,1
#110B0E,1
#120B0F,1
#110C0E,1
#302921,1
#3C271A,1
#120C0F,1
#130B0F,1
#120B0F,1
#120B0F,1
#110B0E,1
#120B0E,1
#120B0E,1
#110B0E,1
#110B0E,1
#110B0E,1
#120B0F,1
#120B0F,1
#120B0F,1
#110B0E,1
#120B0F,1
#130B0F,1
#120B0F,1
#120B0E,1
#120B0E,1
#130B0E,1
#110B0E,1
#120B0F,1
#110B0E,1
#120B0E,1
#120B0E,1
#120B0E,1
#120B0F,1
#120B0F,1
#110B0F,1
#110B0E,1
#120B0F,1
#120B0F,1
#120B0F,1
#120B0F,1
#110B0E,1
#110A0C,1
#120B0F,1
#120B0E,1
#120B0E,1
#120B0E,1
#120B0E,1
#120B0E,1
#120B0E,1
#110A0E,1
#110B0E,1
#110B0E,1
#110B0E,1
#110A0E,1
#110A0E,1
#120B0E,1
#5C8BCE,1
#605B57,1
#4F524E,1
#D7CFCD,1
#625E56,1
#847E78,1
#464139,1
#25281B,1
#7C795F,1
#8B818F,1
#7B8B94,1
#007CB3,1
#006FB1,1
#6C675F,1
#A57562,1
#676158,1
#242B24,1
#9B958F,1
#8A8886,1
#76766E,1
#44453E,1
#6D6A67,1
#5F5A4F,1
#2E2F2A,1
#7E716A,1
#656861,1
#3B3B3B,1
#676767,1
#716A6B,1
#70615D,1
#26495F,1
#736960,1
#7C6D76,1
#697575,1
#82949B,1
#8E8E8E,1
#7F7D7D,1
#7C7E84,1
#73A0A6,1
#876E66,1
#6D7076,1
#646A64,1
#99979C,1
#6A6A6F,1
#505051,1
#7D756B,1
#61676B,1
#66727C,1
#C5BE8C,1
#5A585B,1
#888294,1
#995E40,1
#88949B,1
#786B69,1
#5C5E63,1
#B7A7AE,1
#899497,1
#595959,1
#5A585C,1
#5A5C60,1
#616568,1
#939CA4,1
#5E7894,1
#777066,1
#9CA09F,1
#A68171,1
#758AA6,1
#4A494B,1
#717376,1
#94989E,1
#7C868F,1
#696868,1
#C3805B,1
#5B5D60,1
#585C5B,1
#61634A,1
#4F5255,1
#77777A,1
#DD646B,1
#787774,1
#687F8D,1
#627358,1
#5A5951,1
#566068,1
#646C72,1
#F4EFF3,1
#646C6F,1
