synth_75sqisvalid,synth_intplotrixcolour
1,bababa
1,bfbfbf
1,969696
1,969696
1,a1a1a1
1,a2b5cd
1,969696
1,778899
1,8b7e66
1,8b864e
1,8b795e
1,636363
1,cd6839
1,a0522d
1,cd6839
1,8b814c
1,8b814c
1,8b7355
1,8b7355
1,666666
1,666666
1,8f8f8f
1,6b6b6b
1,ababab
1,757575
1,545454
1,666666
1,7d7d7d
1,787878
1,616161
1,548b54
1,5c5c5c
1,383838
1,616161
1,548b54
1,424242
1,474747
1,4d4d4d
1,4f4f4f
1,4d4d4d
1,2b2b2b
1,525252
1,8b7d6b
1,6e6e6e
1,707070
1,595959
1,575757
1,8b475d
1,cdaa7d
1,f0f0f0
1,f0f0f0
1,f0f0f0
1,8b7355
1,f0f0f0
1,7d7d7d
1,545454
1,737373
1,8f8f8f
1,575757
1,3b3b3b
1,6e6e6e
1,8b5f65
1,7a7a7a
1,919191
1,8f8f8f
1,8b8b7a
1,858585
1,7f7f7f
1,757575
1,7a8b8b
1,8b8970
1,838b8b
1,8b4c39
1,8b5742
1,bc8f8f
1,525252
1,9c9c9c
1,828282
1,666666
1,6e6e6e
1,7a8b8b
1,696969
1,8b8970
1,5e5e5e
1,6ca6cd
1,a6a6a6
1,f5f5f5
1,f5f5f5
1,f2f2f2
1,595959
1,707070
1,8b7d6b
1,36648b
1,6e6e6e
1,8b7765
1,4a708b
1,474747
1,666666
1,8b7d6b
1,8b4789
1,607b8b
1,737373
1,cdb7b5
1,96cdcd
1,4682b4
1,5c5c5c
1,f2f2f2
1,6e6e6e
1,545454
1,737373
1,707070
1,8b7355
1,8b5742
1,8b5742
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,121212
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,3b3b3b
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,212121
1,262626
1,141414
1,0f0f0f
1,0f0f0f
1,303030
1,0f0f0f
1,1a1a1a
1,0f0f0f
1,0f0f0f
1,0d0d0d
1,0f0f0f
1,0f0f0f
1,292929
1,292929
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0d0d0d
1,0f0f0f
1,0f0f0f
1,0d0d0d
1,0d0d0d
1,0d0d0d
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0d0d0d
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0d0d0d
1,0f0f0f
1,0d0d0d
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0d0d0d
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0d0d0d
1,0d0d0d
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0f0f0f
1,0d0d0d
1,0d0d0d
1,0d0d0d
1,0d0d0d
1,0d0d0d
1,0d0d0d
1,0f0f0f
1,4f94cd
1,5c5c5c
1,4f4f4f
1,d1d1d1
1,5c5c5c
1,8b7d7b
1,404040
1,242424
1,8b795e
1,8b7b8b
1,778899
1,1874cd
1,1874cd
